Protein A;Gene A;Taxon A;Protein B;Gene B;Taxon B;Score;PMID
Q96KQ7;EHMT2;9606;P04637;TP53;9606;0.309;20118233 
Q8IX12;CCAR1;9606;P04637;TP53;9606;0.21;18382127 
P04637;TP53;9606;O95758;PTBP3;9606;0.126;22575643 
P11387;TOP1;9606;P04637;TP53;9606;0.569;10468612 18697815 11805286 
Q8BLG0;PHF20;10090;P04637;TP53;9606;0.309;22864287 
Q96MT8;CEP63;9606;Q96KQ4;PPP1R13B;9606;0.183;17043677 
O95900;TRUB2;9606;O75414;NME6;9606;0.126;27499296 
Q8IZD2;KMT2E;9606;P04637;TP53;9606;0.21;21423215 
Q96PM9;ZNF385A;9606;P04637;TP53;9606;0.21;17719541 
Q96PZ2;FAM111A;9606;P04637;TP53;9606;0.126;28514442 
P04637;TP53;9606;P00374;DHFR;9606;0.309;18451149 
P12004;PCNA;9606;P04637;TP53;9606;0.569;16861890 27407148 
P04637;TP53;9606;P00519;ABL1;9606;0.309;10629029 
Q96S44;TP53RK;9606;P04637;TP53;9606;0.309;12659830 
P12755;SKI;9606;P04637;TP53;9606;0.21;21149449 
Q13625;TP53BP2;9606;P12830;CDH1;9606;0.126;25468996 
Q96KQ4;PPP1R13B;9606;P12830;CDH1;9606;0.126;25468996 
P12931;SRC;9606;P04637;TP53;9606;0.309;25071020 
Q8N137;CNTROB;9606;Q13625;TP53BP2;9606;0.126;26638075 
Q8N4C6;NIN;9606;P04637;TP53;9606;0.126;26638075 
Q8N4C6;NIN;9606;Q13625;TP53BP2;9606;0.126;26638075 
Q99497;PARK7;9606;P04637;TP53;9606;0.507;18042550 22683601 
Q8N5M1;ATPAF2;9606;Q13625;TP53BP2;9606;0.454;25416956 

